date,open,high,low,close,volume
2025-08-25 00:00:00+00:00,15.03,15.075089999999998,14.98491,15.03,1000000
2025-08-26 00:00:00+00:00,15.06,15.105179999999999,15.01482,15.06,1000000
2025-08-27 00:00:00+00:00,15.09,15.135269999999998,15.04473,15.09,1000000
2025-08-28 00:00:00+00:00,15.12,15.165359999999998,15.074639999999999,15.12,1000000
2025-08-29 00:00:00+00:00,15.15,15.19545,15.10455,15.15,1000000
2025-09-01 00:00:00+00:00,15.18,15.225539999999999,15.134459999999999,15.18,1000000
2025-09-02 00:00:00+00:00,15.21,15.25563,15.164370000000002,15.21,1000000
2025-09-03 00:00:00+00:00,15.24,15.285719999999998,15.194280000000001,15.24,1000000
2025-09-04 00:00:00+00:00,15.27,15.315809999999997,15.22419,15.27,1000000
2025-09-05 00:00:00+00:00,15.3,15.345899999999999,15.254100000000001,15.3,1000000
2025-09-08 00:00:00+00:00,15.33,15.375989999999998,15.28401,15.33,1000000
2025-09-09 00:00:00+00:00,15.36,15.406079999999998,15.31392,15.36,1000000
2025-09-10 00:00:00+00:00,15.39,15.436169999999999,15.34383,15.39,1000000
2025-09-11 00:00:00+00:00,15.43,15.476289999999999,15.383709999999999,15.43,1000000
2025-09-12 00:00:00+00:00,15.46,15.50638,15.413620000000002,15.46,1000000
2025-09-15 00:00:00+00:00,15.49,15.536469999999998,15.44353,15.49,1000000
2025-09-16 00:00:00+00:00,15.52,15.566559999999997,15.47344,15.52,1000000
2025-09-17 00:00:00+00:00,15.55,15.596649999999999,15.503350000000001,15.55,1000000
2025-09-18 00:00:00+00:00,15.58,15.626739999999998,15.53326,15.58,1000000
2025-09-19 00:00:00+00:00,15.61,15.656829999999998,15.56317,15.61,1000000
2025-09-22 00:00:00+00:00,15.64,15.686919999999999,15.59308,15.64,1000000
2025-09-23 00:00:00+00:00,15.67,15.717009999999998,15.62299,15.67,1000000
2025-09-24 00:00:00+00:00,15.71,15.757129999999998,15.662870000000002,15.71,1000000
2025-09-25 00:00:00+00:00,15.74,15.787219999999998,15.69278,15.74,1000000
2025-09-26 00:00:00+00:00,15.77,15.817309999999997,15.72269,15.77,1000000
2025-09-29 00:00:00+00:00,15.8,15.847399999999999,15.752600000000001,15.8,1000000
2025-09-30 00:00:00+00:00,15.83,15.877489999999998,15.78251,15.83,1000000
2025-10-01 00:00:00+00:00,15.86,15.907579999999998,15.81242,15.86,1000000
2025-10-02 00:00:00+00:00,15.89,15.937669999999999,15.84233,15.89,1000000
2025-10-03 00:00:00+00:00,15.93,15.977789999999999,15.882209999999999,15.93,1000000
2025-10-06 00:00:00+00:00,15.96,16.00788,15.912120000000002,15.96,1000000
2025-10-07 00:00:00+00:00,15.99,16.037969999999998,15.94203,15.99,1000000
2025-10-08 00:00:00+00:00,16.02,16.06806,15.97194,16.02,1000000
2025-10-09 00:00:00+00:00,16.05,16.09815,16.00185,16.05,1000000
2025-10-10 00:00:00+00:00,16.09,16.13827,16.04173,16.09,1000000
2025-10-13 00:00:00+00:00,16.12,16.16836,16.071640000000002,16.12,1000000
2025-10-14 00:00:00+00:00,16.15,16.198449999999998,16.10155,16.15,1000000
2025-10-15 00:00:00+00:00,16.18,16.22854,16.13146,16.18,1000000
2025-10-16 00:00:00+00:00,16.22,16.268659999999997,16.171339999999997,16.22,1000000
2025-10-17 00:00:00+00:00,16.25,16.29875,16.20125,16.25,1000000
